Ref,Val,Package,PosX,PosY,Rot,Side
"AT2","AT-GNSS","U.FL_Molex_MCRF_73412-0110_Vertical",183.700000,-66.800000,0.000000,top
"AT3","AT-GNSS","U.FL_Molex_MCRF_73412-0110_Vertical",176.700000,-66.800000,0.000000,top
"C1","1 μF","C_1206_3216Metric",135.400000,-91.300000,180.000000,top
"C2","22 pF","C_0805_2012Metric",150.175000,-99.875000,270.000000,top
"C3","22 pF","C_0805_2012Metric",141.125000,-99.900000,270.000000,top
"C4","220 pF","C_0805_2012Metric",189.390000,-103.890000,180.000000,top
"C5","0.1 μF","C_0805_2012Metric",131.562500,-79.400000,180.000000,top
"C6","1 μF","C_1206_3216Metric",131.100000,-82.000000,180.000000,top
"C8","100 nF","C_0805_2012Metric",148.800000,-80.000000,180.000000,top
"C9","100 nF","C_0805_2012Metric",132.750000,-102.800000,0.000000,top
"C10","33 pF","C_0805_2012Metric",183.700000,-73.050000,270.000000,top
"C11","12 pF","C_0805_2012Metric",145.200000,-85.000000,0.000000,top
"C12","12 pF","C_0805_2012Metric",145.137500,-88.400000,0.000000,top
"D1","1N4148","D_SOD-323",165.200000,-106.200000,0.000000,top
"R1","10 kΩ","R_0805_2012Metric",132.800000,-100.200000,180.000000,top
"R2","10 kΩ","R_0805_2012Metric",140.400000,-93.200000,90.000000,top
"R3","10 kΩ","R_0805_2012Metric",140.400000,-89.462500,270.000000,top
"R4","3.3 kΩ","R_0805_2012Metric",154.178000,-115.697000,180.000000,top
"R5","3.3 kΩ","R_0805_2012Metric",158.537500,-115.697000,0.000000,top
"R6","3.3 kΩ","R_0805_2012Metric",153.230000,-91.940000,90.000000,top
"R7","3.3 kΩ","R_0805_2012Metric",156.786000,-91.940000,90.000000,top
"R8","3.3 kΩ","R_0805_2012Metric",160.342000,-91.940000,90.000000,top
"R9","10 kΩ","R_0805_2012Metric",148.800000,-82.600000,180.000000,top
"U1","MCP1700T-3302E/TT","SOT-89-3",132.500000,-86.900000,90.000000,top
"U3","MSQA6V1W5T2G","SOT-353_SC-70-5",176.450000,-115.070000,270.000000,top
"U4","74HC126","SOIC-14_3.9x8.7mm_P1.27mm",156.400000,-106.400000,90.000000,top
"U5","FT232RL","SSOP-28_5.3x10.2mm_P0.65mm",157.386000,-82.808000,180.000000,top
"U6","ATmega328P-AU","TQFP-32_7x7mm_P0.8mm",139.500000,-110.250000,135.000000,top
"U7","MCP7940N-xSN","SOIC-8_3.9x4.9mm_P1.27mm",145.525000,-92.765000,180.000000,top
"Y1","8 MHz","Crystal_SMD_5032-2Pin_5.0x3.2mm",145.625000,-99.925000,0.000000,top
"Y2"," 32.768 kHz","Crystal_SMD_EuroQuartz_EQ161-2Pin_3.2x1.5mm",148.400000,-86.600000,270.000000,top
